,symbol,date,close
0,AAPL,2024-12-31,250.42
1,AAPL,2024-12-30,252.2
2,AAPL,2024-12-27,255.59
3,AAPL,2024-12-26,259.02
4,AAPL,2024-12-24,258.2
5,AAPL,2024-12-23,255.27
6,AAPL,2024-12-20,254.49
7,AAPL,2024-12-19,249.79
8,AAPL,2024-12-18,248.05
9,AAPL,2024-12-17,253.48
10,AAPL,2024-12-16,251.04
11,AAPL,2024-12-13,248.13
12,AAPL,2024-12-12,247.96
13,AAPL,2024-12-11,246.49
14,AAPL,2024-12-10,247.77
15,AAPL,2024-12-09,246.75
16,AAPL,2024-12-06,242.84
17,AAPL,2024-12-05,243.04
18,AAPL,2024-12-04,243.01
19,AAPL,2024-12-03,242.65
20,AAPL,2024-12-02,239.59
21,AAPL,2024-11-29,237.33
22,AAPL,2024-11-27,234.93
23,AAPL,2024-11-26,235.06
24,AAPL,2024-11-25,232.87
25,AAPL,2024-11-22,229.87
26,AAPL,2024-11-21,228.52
27,AAPL,2024-11-20,229.0
28,AAPL,2024-11-19,228.28
29,AAPL,2024-11-18,228.02
30,AAPL,2024-11-15,225.0
31,AAPL,2024-11-14,228.22
32,AAPL,2024-11-13,225.12
33,AAPL,2024-11-12,224.23
34,AAPL,2024-11-11,224.23
35,AAPL,2024-11-08,226.96
36,AAPL,2024-11-07,227.48
37,AAPL,2024-11-06,222.72
38,AAPL,2024-11-05,223.45
39,AAPL,2024-11-04,222.01
40,AAPL,2024-11-01,222.91
41,AAPL,2024-10-31,225.91
42,AAPL,2024-10-30,230.1
43,AAPL,2024-10-29,233.67
44,AAPL,2024-10-28,233.4
45,AAPL,2024-10-25,231.41
46,AAPL,2024-10-24,230.57
47,AAPL,2024-10-23,230.76
48,AAPL,2024-10-22,235.86
49,AAPL,2024-10-21,236.48
50,AAPL,2024-10-18,235.0
51,AAPL,2024-10-17,232.15
52,AAPL,2024-10-16,231.78
53,AAPL,2024-10-15,233.85
54,AAPL,2024-10-14,231.3
55,AAPL,2024-10-11,227.55
56,AAPL,2024-10-10,229.04
57,AAPL,2024-10-09,229.54
58,AAPL,2024-10-08,225.77
59,AAPL,2024-10-07,221.69
60,AAPL,2024-10-04,226.8
61,AAPL,2024-10-03,225.67
62,AAPL,2024-10-02,226.78
63,AAPL,2024-10-01,226.21
64,AAPL,2024-09-30,233.0
65,AAPL,2024-09-27,227.79
66,AAPL,2024-09-26,227.52
67,AAPL,2024-09-25,226.37
68,AAPL,2024-09-24,227.37
69,AAPL,2024-09-23,226.47
70,AAPL,2024-09-20,228.2
71,AAPL,2024-09-19,228.87
72,AAPL,2024-09-18,220.69
73,AAPL,2024-09-17,216.79
74,AAPL,2024-09-16,216.32
75,AAPL,2024-09-13,222.5
76,AAPL,2024-09-12,222.77
77,AAPL,2024-09-11,222.66
78,AAPL,2024-09-10,220.11
79,AAPL,2024-09-09,220.91
80,AAPL,2024-09-06,220.82
81,AAPL,2024-09-05,222.38
82,AAPL,2024-09-04,220.85
83,AAPL,2024-09-03,222.77
84,AAPL,2024-08-30,229.0
85,AAPL,2024-08-29,229.79
86,AAPL,2024-08-28,226.49
87,AAPL,2024-08-27,228.03
88,AAPL,2024-08-26,227.18
89,AAPL,2024-08-23,226.84
90,AAPL,2024-08-22,224.53
91,AAPL,2024-08-21,226.4
92,AAPL,2024-08-20,226.51
93,AAPL,2024-08-19,225.89
94,AAPL,2024-08-16,226.05
95,AAPL,2024-08-15,224.72
96,AAPL,2024-08-14,221.72
97,AAPL,2024-08-13,221.27
98,AAPL,2024-08-12,217.53
99,AAPL,2024-08-09,216.24
100,AAPL,2024-08-08,213.31
101,AAPL,2024-08-07,209.82
102,AAPL,2024-08-06,207.23
103,AAPL,2024-08-05,209.27
104,AAPL,2024-08-02,219.86
105,AAPL,2024-08-01,218.36
106,AAPL,2024-07-31,222.08
107,AAPL,2024-07-30,218.8
108,AAPL,2024-07-29,218.24
109,AAPL,2024-07-26,217.96
110,AAPL,2024-07-25,217.49
111,AAPL,2024-07-24,218.54
112,AAPL,2024-07-23,225.01
113,AAPL,2024-07-22,223.96
114,AAPL,2024-07-19,224.31
115,AAPL,2024-07-18,224.18
116,AAPL,2024-07-17,228.88
117,AAPL,2024-07-16,234.82
118,AAPL,2024-07-15,234.4
119,AAPL,2024-07-12,230.54
120,AAPL,2024-07-11,227.57
121,AAPL,2024-07-10,232.98
